City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
451,Sorong,ID,77.85,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
452,Ipoti,NG,68.68,overcast clouds,7.8738,5.0769,"Hotel Saint Abigail Hall n Suites, Ipoti-Ekiti"
453,Mao,ES,79.36,scattered clouds,39.8885,4.2658,ARTIEM Capri
454,Rabo De Peixe,PT,77.27,scattered clouds,37.8,-25.5833,Quinta das Giestas
455,Tarboro,US,88.18,broken clouds,35.8968,-77.5358,SureStay Plus Hotel Tarboro by Best Western
456,Salvador,SV,80.64,overcast clouds,13.8333,-88.9167,Chico's Ranch
457,Tamana,JP,77.16,broken clouds,32.9167,130.5667,さつき別荘
459,Maceio,BR,72.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
461,Viedma,AR,69.66,overcast clouds,-40.8135,-62.9967,Hotel Cristal
462,Matamoros,MX,75.31,haze,25.5333,-103.25,Quinta Belem
463,Asau,RO,65.32,light rain,46.4333,26.4,Casa Mika Ciobanus
465,Mangrol,IN,80.4,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
466,Aqtobe,KZ,68.09,clear sky,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
467,Belem De Sao Francisco,BR,81.36,scattered clouds,-8.7539,-38.9658,Village Hotel
468,Mapimi,MX,79.39,overcast clouds,25.8167,-103.85,Propiedad Lldm
470,Guerrero Negro,MX,80.94,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
472,Pisco,PE,66.25,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
473,Buarcos,PT,66.54,clear sky,40.166,-8.8768,Hotel Sweet Atlantic SPA
475,Labuhan,ID,76.57,overcast clouds,-6.8844,112.2051,DoubleFAG
476,Lasa,IT,63.48,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
480,Wukari,NG,73.29,moderate rain,7.85,9.7833,Elimtop
481,Kaputa,ZM,79.05,broken clouds,-8.4689,29.6619,Chelelwa Charlets
482,Dharchula,IN,71.56,overcast clouds,29.85,80.5333,Mahara Hotel
484,Guiren,CN,67.75,overcast clouds,33.6697,118.1889,Suyuan Hotel
485,Nantucket,US,84.25,clear sky,41.2835,-70.0995,Jared Coffin House
486,Eureka,US,61.99,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
489,Nemuro,JP,63.48,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
490,Banda Aceh,ID,79.47,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
491,Mbandaka,CD,72.88,broken clouds,0.0487,18.2603,Guest House Epervier
492,Banepa,NP,70.12,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
493,Am Timan,TD,68.58,heavy intensity rain,11.0297,20.2827,Palais du chef Canton Salamt
495,Isangel,VU,72.91,overcast clouds,-19.55,169.2667,Tanna Lodge
501,Hirado,JP,75.38,light rain,33.3597,129.5531,Samson Hotel
502,Paramonga,PE,65.3,clear sky,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
503,Caravelas,BR,67.28,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
504,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
508,Bastia,FR,78.6,broken clouds,42.6667,9.3333,Hotel Santa Maria
509,San Carlos,VE,84.13,broken clouds,9.6612,-68.5827,Hotel Paternopoli
510,Fukue,JP,79.79,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
511,Oussouye,SN,80.69,overcast clouds,12.485,-16.5469,Auberge du Routard
512,Kryve Ozero,UA,68.32,overcast clouds,47.9524,30.3493,Hotel Oktan
515,Quatre Cocos,MU,64.51,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
517,Alcantara,BR,86.2,broken clouds,-2.4089,-44.4147,Pousada da Josefa
518,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
519,Leh,IN,62.58,clear sky,34.1667,77.5833,Hotel Ladakh Greens
520,Ca Mau,VN,78.22,few clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
521,Nishihara,JP,83.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
522,San Juan,AR,73.08,clear sky,-31.5375,-68.5364,Hotel Provincial
523,Luganville,VU,77.13,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
524,Springbok,ZA,66.38,overcast clouds,-29.6643,17.8865,Undulata Country Lodge
525,Novozavedennoye,RU,79.9,clear sky,44.2628,43.6381,Baza Otdykha Issykul'
527,Tamandare,BR,74.8,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
528,Shiraz,IR,78.24,clear sky,29.6036,52.5388,Shams Hotel
530,Myitkyina,MM,75.02,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
531,Jiangyou,CN,65.7,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
533,Swan River,CA,89.49,clear sky,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
534,Martapura,ID,73.49,mist,-3.4167,114.85,Montana Hotel Syariah
537,Mayo,US,86.11,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
538,Ambilobe,MG,70.99,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
539,Sibu,MY,73.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
541,Tabou,CI,74.35,heavy intensity rain,4.423,-7.3528,hotêl doufoulougou
542,Zaysan,KZ,63.57,clear sky,47.4667,84.8667,Ерлан үй
544,Kamwenge,UG,65.16,overcast clouds,0.1866,30.4539,Marianna Guest House
546,Hirara,JP,84.49,heavy intensity rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
547,Touros,BR,77.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
549,Mabaruma,GY,80.29,broken clouds,8.2,-59.7833,Monty Brooms Guest House
551,Lakatoro,VU,77.04,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
