City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Lorengau,PG,-2.0226,147.2712,80.78,82,72,9.44,broken clouds
325,Skeldon,GY,5.8833,-57.1333,87.06,64,97,2.77,overcast clouds
326,Swan Hill,AU,-35.3378,143.5544,40.06,83,36,1.63,scattered clouds
327,Karaton,ID,-6.3424,106.1045,74.39,89,100,1.14,overcast clouds
328,Codrington,AU,-38.2667,141.9667,46.67,73,100,8.08,overcast clouds
329,Tessalit,ML,20.1986,1.0114,98.74,11,100,10.22,overcast clouds
330,Hailey,US,43.5196,-114.3153,91.99,24,0,9.22,clear sky
331,Alta Floresta,BR,-9.8756,-56.0861,102.02,18,4,5.75,smoke
332,Marsaxlokk,MT,35.8419,14.5431,82.08,74,0,9.22,clear sky
333,Faanui,PF,-16.4833,-151.75,78.33,65,12,22.06,few clouds
334,Rio Grande,BR,-32.035,-52.0986,69.91,68,45,11.03,scattered clouds
335,Kenora,CA,49.8167,-94.4337,70.77,46,20,5.75,few clouds
336,Japura,ID,-0.3167,102.35,74.14,97,66,2.46,broken clouds
337,Sabha,LY,27.0377,14.4283,90.45,19,0,12.75,clear sky
338,San Patricio,US,28.017,-97.5169,91.29,53,100,9.24,overcast clouds
339,Bonthe,SL,7.5264,-12.505,77.76,83,100,8.48,overcast clouds
340,Novyy Urengoy,RU,66.0833,76.6333,40.46,87,81,9.6,broken clouds
341,Birao,CF,10.2849,22.7882,67.95,94,100,3.13,overcast clouds
342,Ayan,RU,56.45,138.1667,53.49,93,66,9.24,broken clouds
343,Cazones,MX,20.7167,-97.3167,93.0,58,75,11.5,broken clouds
344,Pochutla,MX,15.7432,-96.4661,91.81,59,100,7.23,overcast clouds
345,Idenao,CM,4.2475,9.0047,75.4,91,100,4.25,overcast clouds
346,Bathurst,AU,-33.4166,149.5806,47.82,93,5,1.01,clear sky
347,Isla Mujeres,MX,21.2311,-86.731,78.85,67,51,10.38,broken clouds
